LA_female,FA_female,publication_month,publication_year,i_covid,n_authors,journal_id,log_altmetric,log_cites,log_twitter_all,log_twitter_scientist,log_twitter_commun,log_twitter_public,log_twitter_pract,log_news,log_policy,log_wiki,log_blogs,gender_combination,gender_combo
0,1,1,2015,0,13,CIRCULATION RESEARCH,0,4.2626801,0,0,0,0,0,0,0,0,0,mixed gender team,mixed gender team
0,0,1,2015,0,9,CIRCULATION RESEARCH,2.0794415,4.2626801,.69314718,0,.69314718,0,0,0,0,0,0,men first and last,men first and last
0,1,1,2015,0,17,CIRCULATION,1.704748,4.7874918,1.3862944,.69314718,0,1.0986123,0,0,0,1.0986123,0,mixed gender team,mixed gender team
0,0,1,2015,0,3,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,4.3470469,5.1416636,4.3307333,1.3862944,1.0986123,3.9318256,2.1972246,1.6094379,1.0986123,0,0,men first and last,men first and last
0,0,1,2015,0,12,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.8332133,3.1780539,1.3862944,0,0,1.3862944,0,.69314718,0,0,.69314718,men first and last,men first and last
0,0,1,2015,0,10,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1.178655,4.4998097,1.6094379,0,0,1.6094379,0,0,0,0,0,men first and last,men first and last
1,0,1,2015,0,11,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,4.5146985,4.7874918,3.1780539,1.3862944,0,2.5649493,1.7917595,2.1972246,0,0,1.0986123,mixed gender team,mixed gender team
0,0,1,2015,0,23,EUROPEAN HEART JOURNAL,1.3862944,5.6204009,0,0,0,0,0,0,.69314718,0,0,men first and last,men first and last
,1,1,2015,0,36,EUROPEAN HEART JOURNAL,2.7568405,5.8200831,2.3978953,1.0986123,.69314718,1.6094379,0,.69314718,.69314718,0,0,,
0,1,1,2015,0,10,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,4.2918282,4.5108595,2.3978953,.69314718,0,1.6094379,1.7917595,2.3025851,0,1.0986123,0,mixed gender team,mixed gender team
0,0,1,2015,0,6,CIRCULATION,5.3424301,5.3798971,4.7957907,2.7080503,.69314718,4.1743875,2.9957323,2.8332133,0,0,1.7917595,men first and last,men first and last
1,1,1,2015,0,12,CIRCULATION RESEARCH,.22314355,3.8286414,.69314718,0,0,.69314718,0,0,0,0,0,women first and last,women first and last
0,0,1,2015,0,5,CIRCULATION RESEARCH,1.5581446,4.3944492,1.3862944,.69314718,0,1.0986123,0,0,0,0,0,men first and last,men first and last
,,1,2015,0,1,EUROPEAN HEART JOURNAL,1.6486586,4.1743875,2.0794415,0,0,1.9459101,0,0,0,0,0,,
0,,1,2015,0,12,CIRCULATION,1.8484548,4.7361984,2.3025851,.69314718,0,1.7917595,1.0986123,0,0,0,0,,
